key	what it is for / what to preserve	en (English)	am (አማርኛ)	om (Afaan Oromoo)	ti (ትግርኛ)	so (Soomaali)	sw (Kiswahili)	reviewer notes
admin.not_your_desk	Bank staff, not customers. Keep it short — it has to fit the same space as the English. Leave any {placeholder} exactly as it is; it is replaced with a number or a name.	outside your desks	ከእርስዎ ዴስኮች ውጭ	deeskiiwwan keessanii ala	ካብ ዴስክታትኩም ወጻኢ	ka baxsan miisaskaaga	nje ya madawati yako	
admin.desks_updated	Bank staff, not customers. Keep it short — it has to fit the same space as the English. Leave any {placeholder} exactly as it is; it is replaced with a number or a name.	Desks updated	ዴስኮች ተዘምነዋል	Deeskiiwwan haaromfaman	ዴስክታት ተሓዲሶም	Miisaska waa la cusbooneysiiyay	Madawati yamesasishwa	
admin.coverage	Bank staff, not customers. Keep it short — it has to fit the same space as the English. Leave any {placeholder} exactly as it is; it is replaced with a number or a name.	Coverage	ሽፋን	Haguuggii	ሽፋን	Daboolid	Uwezo	
admin.coverage_everything	Bank staff, not customers. Keep it short — it has to fit the same space as the English. Leave any {placeholder} exactly as it is; it is replaced with a number or a name.	everything — nothing declared	ሁሉም — ምንም አልተገለጸም	hunda — wanti labsame hin jiru	ኩሉ — ዋላ ሓደ ኣይተገልጸን	wax walba — waxba lama sheegin	yote — hakuna kilichotangazwa	
admin.desk_teams	Bank staff, not customers. Keep it short — it has to fit the same space as the English. Leave any {placeholder} exactly as it is; it is replaced with a number or a name.	Desk teams	የዴስክ ቡድኖች	Gareewwan deeskii	ጉጅለታት ዴስክ	Kooxaha miisaska	Timu za madawati	
admin.desk_no_members	Bank staff, not customers. Keep it short — it has to fit the same space as the English. Leave any {placeholder} exactly as it is; it is replaced with a number or a name.	Nobody has declared this desk	ይህን ዴስክ ማንም አላወጀም	Deeskii kana namni labse hin jiru	ነዚ ዴስክ ዝኣወጀ የለን	Cidna miiskan ma sheegan	Hakuna aliyetangaza dawati hili	
admin.one_takes_everything	Bank staff, not customers. Keep it short — it has to fit the same space as the English. Leave any {placeholder} exactly as it is; it is replaced with a number or a name.	{n} person has declared no desks, so they take every desk's calls	{n} ሰው ምንም ዴስክ አላወጀም፤ ስለዚህ የሁሉንም ዴስክ ጥሪዎች ይቀበላል	Namni {n} deeskii tokkollee hin labsine, kanaafuu bilbilawwan deeskii hundaa fudhata	{n} ሰብ ዋላ ሓደ ዴስክ ኣይኣወጀን፣ ስለዚ ጻውዒታት ኩሉ ዴስክ ይቕበል	{n} qof miis ma sheegan, sidaas darteed wuxuu qaataa wicitaannada miis kasta	Mtu {n} hajatangaza dawati lolote, kwa hivyo anapokea simu za kila dawati	
admin.n_take_everything	Bank staff, not customers. Keep it short — it has to fit the same space as the English. Leave any {placeholder} exactly as it is; it is replaced with a number or a name.	{n} people have declared no desks, so they take every desk's calls	{n} ሰዎች ምንም ዴስክ አላወጁም፤ ስለዚህ የሁሉንም ዴስክ ጥሪዎች ይቀበላሉ	Namoonni {n} deeskii tokkollee hin labsine, kanaafuu bilbilawwan deeskii hundaa fudhatu	{n} ሰባት ዋላ ሓደ ዴስክ ኣይኣወጁን፣ ስለዚ ጻውዒታት ኩሉ ዴስክ ይቕበሉ	{n} qof miis ma sheegan, sidaas darteed waxay qaataan wicitaannada miis kasta	Watu {n} hawajatangaza dawati lolote, kwa hivyo wanapokea simu za kila dawati	
admin.desk_teams_note	Bank staff, not customers. Keep it short — it has to fit the same space as the English. Leave any {placeholder} exactly as it is; it is replaced with a number or a name.	Grouped by each person's own declared expertise. An empty desk is a coverage gap worth a conversation — its calls still get answered, just not by a specialist first.	በእያንዳንዱ ሰው በራሱ ባወጀው ልምድ የተመደቡ። ባዶ ዴስክ ውይይት የሚገባው የሽፋን ክፍተት ነው — ጥሪዎቹ አሁንም ይመለሳሉ፣ ግን መጀመሪያ በባለሙያ አይደለም።	Ogummaa tokkoon tokkoon namaa ofii labseen gurmaa'an. Deeskiin duwwaan hanqina haguuggii mari'achuu barbaachisu dha — bilbilawwan isaa ammas deebii argatu, garuu jalqaba ogeessaan miti.	በብናይ ነፍስ ወከፍ ሰብ ባዕሉ ዝኣወጆ ክእለት ዝተጠርነፉ። ባዶ ዴስክ ዝርርብ ዝግብኦ ክፍተት ሽፋን እዩ — ጻውዒታቱ ሕጂ እውን ይምለሱ፣ ግን ቅድም ብኽኢላ ኣይኮነን።	Waxay ku kala qaybsan yihiin khibradda uu qof kastaa isagu sheegtay. Miis maran waa daldaloolo daboolid oo u qalanta wada hadal — wicitaannadiisa weli waa laga jawaabaa, laakiin marka hore khabiir maaha.	Wamepangwa kwa utaalamu ambao kila mtu amejitangazia. Dawati tupu ni pengo la uwezo linalostahili mazungumzo — simu zake bado zinajibiwa, ila si na mtaalamu kwanza.	
admin.manage_desk_members	Bank staff, not customers. Keep it short — it has to fit the same space as the English. Leave any {placeholder} exactly as it is; it is replaced with a number or a name.	Manage who handles this desk	ይህን ዴስክ ማን እንደሚይዝ ያስተዳድሩ	Deeskii kana eenyu akka qabatu bulchi	ነዚ ዴስክ መን ከም ዝሕዞ ኣመሓድር	Maamul cidda miiskan qabata	Simamia nani anayeshughulikia dawati hili	
admin.assign_for_desk	Bank staff, not customers. Keep it short — it has to fit the same space as the English. Leave any {placeholder} exactly as it is; it is replaced with a number or a name.	Who handles {desk}?	{desk}ን ማን ይይዛል?	{desk} eenyutu qabata?	{desk} መን ይሕዞ?	Yaa qabta {desk}?	Nani anashughulikia {desk}?	
admin.assign_for_person	Bank staff, not customers. Keep it short — it has to fit the same space as the English. Leave any {placeholder} exactly as it is; it is replaced with a number or a name.	Desks for {name}	የ{name} ዴስኮች	Deeskiiwwan {name}	ዴስክታት {name}	Miisaska {name}	Madawati ya {name}	
admin.assign_hint	Bank staff, not customers. Keep it short — it has to fit the same space as the English. Leave any {placeholder} exactly as it is; it is replaced with a number or a name.	Changes save immediately. People can still adjust their own desks from the Live queue, and every change is in the audit log.	ለውጦች ወዲያውኑ ይቀመጣሉ። ሰዎች አሁንም ከቀጥታ ወረፋው የራሳቸውን ዴስኮች ማስተካከል ይችላሉ፤ እያንዳንዱ ለውጥ በኦዲት መዝገብ ውስጥ አለ።	Jijjiiramoonni battalumatti ni kuufamu. Namoonni ammas sarara kallattii irraa deeskiiwwan ofii sirreessuu danda'u; jijjiiramni hundi galmee odiitii keessa jira.	ለውጥታት ብቕጽበት ይቕመጡ። ሰባት ሕጂ እውን ካብ ቀጥታዊ ሰልፊ ናቶም ዴስክታት ከስተኻኽሉ ይኽእሉ፤ ነፍስ ወከፍ ለውጢ ኣብ መዝገብ ኦዲት ኣሎ።	Isbeddelladu isla markiiba way kaydsamaan. Dadku weli waxay ka hagaajin karaan miisaskooda safka tooska ah; isbeddel kastaa wuxuu ku jiraa diiwaanka hubinta.	Mabadiliko yanahifadhiwa mara moja. Watu bado wanaweza kurekebisha madawati yao kutoka foleni ya moja kwa moja; kila badiliko liko katika kumbukumbu ya ukaguzi.	
admin.edit_desks	Bank staff, not customers. Keep it short — it has to fit the same space as the English. Leave any {placeholder} exactly as it is; it is replaced with a number or a name.	Desks	ዴስኮች	Deeskiiwwan	ዴስክታት	Miisaska	Madawati	
admin.no_eligible_people	Bank staff, not customers. Keep it short — it has to fit the same space as the English. Leave any {placeholder} exactly as it is; it is replaced with a number or a name.	Nobody on this team can take live calls yet.	በዚህ ቡድን ውስጥ ቀጥታ ጥሪ መቀበል የሚችል እስካሁን የለም።	Garee kana keessa namni bilbila kallattii fudhachuu danda'u hanga ammaatti hin jiru.	ኣብዚ ጉጅለ ቀጥታዊ ጻውዒት ክቕበል ዝኽእል ክሳብ ሕጂ የለን።	Kooxdan qofna weli ma qaadan karo wicitaanno toos ah.	Hakuna mtu katika timu hii anayeweza kupokea simu za moja kwa moja bado.	
admin.in_progress	Bank staff, not customers. Keep it short — it has to fit the same space as the English. Leave any {placeholder} exactly as it is; it is replaced with a number or a name.	In progress	በሂደት ላይ	Adeemsa irra	ኣብ መስርሕ	Socda	Inaendelea	
admin.no_session_in_progress	Bank staff, not customers. Keep it short — it has to fit the same space as the English. Leave any {placeholder} exactly as it is; it is replaced with a number or a name.	No session in progress.	በሂደት ላይ ያለ ክፍለ-ጊዜ የለም።	Sessionii adeemsa irra jiru hin jiru.	ኣብ መስርሕ ዘሎ ክፍለ-ግዜ የለን።	Ma jiro kalfadhi socda.	Hakuna kikao kinachoendelea.	
admin.wait_suffix	Bank staff, not customers. Keep it short — it has to fit the same space as the English. Leave any {placeholder} exactly as it is; it is replaced with a number or a name.	wait	ጥበቃ	eegumsa	ጽበት	sug	kusubiri	
admin.what_session_covers	Bank staff, not customers. Keep it short — it has to fit the same space as the English. Leave any {placeholder} exactly as it is; it is replaced with a number or a name.	What a session covers	አንድ ክፍለ-ጊዜ ምን ይሸፍናል	Sessioniin maal haguuga	ሓደ ክፍለ-ግዜ እንታይ ይሽፍን	Waxa kalfadhigu daboolo	Kikao Kinajumuisha Nini	
admin.session_scope_body	Bank staff, not customers. Keep it short — it has to fit the same space as the English. Leave any {placeholder} exactly as it is; it is replaced with a number or a name.	Before someone is identified: general questions about products, eligibility and how to apply. Once you have checked their Fayda ID against the account and asked something only the account holder could answer: their own application, documents and disputes.	አንድ ሰው ከመለየቱ በፊት፦ ስለ ምርቶች፣ ብቁነትና እንዴት ማመልከት እንደሚቻል አጠቃላይ ጥያቄዎች። የፋይዳ መታወቂያቸውን ከሂሳቡ ጋር አመሳክረው የሂሳቡ ባለቤት ብቻ ሊመልሰው የሚችለውን ከጠየቁ በኋላ፦ የራሳቸው ማመልከቻ፣ ሰነዶችና ቅሬታዎች።	Namni tokko utuu hin beekamin dura: gaaffii waliigalaa waa'ee oomishaalee, ulaagaa fi akkaataa itti iyyatan. Erga waraqaa eenyummaa Fayda isaanii herrega waliin madaalchiftanii waan abbaan herregaa qofti deebisuu danda'u gaafattanii booda: iyyannoo, sanadoota fi komii isaanii.	ሓደ ሰብ ቅድሚ ምልላዩ፦ ብዛዕባ ኣቕሑ፣ ብቕዓትን ከመይ ጌርካ ከም እትሓትትን ሓፈሻዊ ሕቶታት። መንነት ፋይዳኦም ምስ ሕሳብ ኣረጋጊጽኩም እቲ ወናኒ ሕሳብ ጥራይ ክምልሶ ዝኽእል ምስ ሓተትኩም፦ ናቶም ምልክታ፣ ሰነዳትን ጥርዓናትን።	Ka hor inta aan qofka la aqoonsan: su'aalo guud oo ku saabsan alaabta, u-qalmitaanka iyo sida loo codsado. Marka aad hubiso aqoonsigooda Fayda ee xisaabta oo aad weydiiso wax uu kaliya milkiilaha xisaabtu ka jawaabi karo: codsigooda, dukumiintiyada iyo cabashooyinka.	Kabla mtu hajatambuliwa: maswali ya jumla kuhusu bidhaa, sifa za kustahiki na jinsi ya kuomba. Baada ya kukagua Kitambulisho chao cha Fayda dhidi ya akaunti na kuuliza kitu ambacho mmiliki wa akaunti pekee angeweza kujibu: maombi yao wenyewe, nyaraka na migogoro.	
admin.never_money_movement	Bank staff, not customers. Keep it short — it has to fit the same space as the English. Leave any {placeholder} exactly as it is; it is replaced with a number or a name.	Never, at any point and for anyone: deposits, withdrawals or transfers. Those do not happen on a call.	በፍጹም፣ በማንኛውም ጊዜና ለማንም፦ ተቀማጭ፣ ወጪ ወይም ማስተላለፍ የለም። እነዚያ በጥሪ ላይ አይፈጸሙም።	Gonkumaa, yeroo kamiyyuu fi eenyuufiyyuu: kuusaa, baasii yookiin dabarsa hin jiru. Isaan sun bilbila irratti hin raawwataman.	ፈጺሙ፣ ኣብ ዝኾነ እዋንን ንዝኾነ ሰብን፦ መቐመጢ፣ ወጻኢ ወይ ምትሕልላፍ የለን። እዚኣቶም ኣብ ጻውዒት ኣይፍጸሙን።	Weligaa, wakhti kasta iyo qof kasta: dhigasho, qaadis ama wareejin ma jirto. Kuwaas wicitaan laguma sameeyo.	Kamwe, wakati wowote na kwa yeyote: amana, uondoaji au uhamishaji. Hizo hazifanyiki kwenye simu.	
admin.open_escalation_queue	Bank staff, not customers. Keep it short — it has to fit the same space as the English. Leave any {placeholder} exactly as it is; it is replaced with a number or a name.	Open the escalation queue	የማሸጋገሪያ ወረፋውን ክፈት	Sararaa dabarsaa banaa	ሪጋ ምትሕልላፍ ክፈት	Fur safka gudbinta	Fungua Foleni ya Masuala Yaliyoelekezwa	
admin.open_live_queue	Bank staff, not customers. Keep it short — it has to fit the same space as the English. Leave any {placeholder} exactly as it is; it is replaced with a number or a name.	Open the live call queue	ቀጥታ የጥሪ ወረፋውን ክፈት	Sarara bilbilaa kallattii banaa	ቀጥታዊ ናይ ጻውዒት ሰልፊ ክፈት	Fur safka wicitaanka tooska ah	Fungua foleni ya simu za moja kwa moja	
admin.live_waiting_one	Bank staff, not customers. Keep it short — it has to fit the same space as the English. Leave any {placeholder} exactly as it is; it is replaced with a number or a name.	{n} customer waiting for a live call	{n} ደንበኛ ቀጥታ ጥሪ በመጠበቅ ላይ ነው	Maamilaan {n} bilbila kallattii eegaa jira	{n} ዓሚል ቀጥታዊ ጻውዒት ይጽበ ኣሎ	{n} macmiil ayaa sugaya wicitaan toos ah	Mteja {n} anasubiri simu ya moja kwa moja	
admin.live_waiting_many	Bank staff, not customers. Keep it short — it has to fit the same space as the English. Leave any {placeholder} exactly as it is; it is replaced with a number or a name.	{n} customers waiting for a live call	{n} ደንበኞች ቀጥታ ጥሪ በመጠበቅ ላይ ናቸው	Maamiltoonni {n} bilbila kallattii eegaa jiru	{n} ዓማዊል ቀጥታዊ ጻውዒት ይጽበዩ ኣለዉ	{n} macaamiil ayaa sugaya wicitaan toos ah	Wateja {n} wanasubiri simu ya moja kwa moja	
admin.switch_dark_light	Bank staff, not customers. Keep it short — it has to fit the same space as the English. Leave any {placeholder} exactly as it is; it is replaced with a number or a name.	Switch between dark and light	በጨለማና በብርሃን መካከል ቀይር	Dukkanaa fi ifa gidduu jijjiiri	ኣብ መንጎ ጸላምን ብርሃንን ቀይር	U beddel mugdiga iyo iftiinka	Badilisha Kati ya Giza na Mwanga	
